HOTA_DIAG01 src=S spell=37 hero=000000AA target=0D395A14 alive=00000003 start=00000008 lost=0000000D eax=FFFFFFFE overflow=00000002 manager=0D390000
HOTA_DIAG01 src=M spell=37 hero=000000AA target=0D3954CC alive=00000003 start=00000003 lost=00000000 eax=FFFFFFCE overflow=00000032 manager=0D390000
HOTA_DIAG01 src=M spell=37 hero=000000AA target=0D395A14 alive=00000002 start=00000005 lost=00000009 eax=FFFFFFD7 overflow=00000029 manager=0D390000
HOTA_DIAG01 src=M spell=37 hero=000000AA target=0D395F5C alive=00000014 start=00000014 lost=00000000 eax=FFFFFFB8 overflow=00000048 manager=0D390000
HOTA_DIAG01 src=M spell=37 hero=000000AA target=0D3954CC alive=00000003 start=00000003 lost=00000000 eax=FFFFFFCE overflow=00000032 manager=0D390000
HOTA_DIAG01 src=M spell=37 hero=000000AA target=0D395A14 alive=00000002 start=00000005 lost=00000000 eax=FFFFFFCE overflow=00000032 manager=0D390000
HOTA_DIAG01 src=M spell=37 hero=000000AA target=0D395F5C alive=00000014 start=00000014 lost=00000000 eax=FFFFFFB8 overflow=00000048 manager=0D390000
HOTA_DIAG01 src=S spell=37 hero=00000019 target=0D3964A4 alive=00000005 start=00000005 lost=00000054 eax=00000043 overflow=00000000 manager=0D390000
HOTA_DIAG01 src=M spell=37 hero=00000019 target=0D3954CC alive=00000010 start=00000010 lost=00000000 eax=FFFFFFD3 overflow=0000002D manager=0D390000
HOTA_DIAG01 src=M spell=37 hero=00000019 target=0D395A14 alive=00000007 start=00000007 lost=00000000 eax=FFFFFFCE overflow=00000032 manager=0D390000
HOTA_DIAG01 src=M spell=37 hero=00000019 target=0D395F5C alive=00000003 start=00000003 lost=00000000 eax=FFFFFFCE overflow=00000032 manager=0D390000
HOTA_DIAG01 src=M spell=37 hero=00000019 target=0D3964A4 alive=00000005 start=00000005 lost=00000022 eax=FFFFFFDA overflow=00000026 manager=0D390000
HOTA_DIAG01 src=M spell=37 hero=00000019 target=0D3969EC alive=00000005 start=00000005 lost=00000000 eax=FFFFFFB8 overflow=00000048 manager=0D390000
HOTA_DIAG01 src=M spell=37 hero=00000019 target=0D396F34 alive=00000005 start=00000005 lost=00000000 eax=FFFFFFB8 overflow=00000048 manager=0D390000
HOTA_DIAG01 src=M spell=37 hero=00000019 target=0D39747C alive=00000005 start=00000005 lost=00000000 eax=FFFFFFB8 overflow=00000048 manager=0D390000
